"bahnhof_index","lon","lat"
"196",8.5201492,50.1560585
"197",8.5332159,50.162428
"198",8.6472651,50.2422691
"199",8.9283105,50.1264123
"200",8.5282668,50.130158
"201",8.5177591,50.1396625
"202",8.2554396,50.0412948
"203",8.9568642,50.1209376
"204",8.4165038,50.5519629
"205",8.1834205,50.7463494
"206",8.9441122,50.2835105
"207",NA,NA
"208",8.9786815,50.291395
"209",8.8707222,50.8430047
"210",8.1530412,50.4053547
"211",8.4634044,50.5882197
"212",8.8136246,50.2985897
"213",8.192563,50.3918386
"214",8.25527,50.296874
"215",8.7487455,50.3678881
"216",8.9801311,50.4187432
"217",8.820692,50.3590125
"218",9.0490159,50.3555576
"219",8.9733746,50.4299593
"220",9.0670561,50.2979266
"221",9.1026522,50.2890831
"222",8.3132099,50.7000076
"223",8.8198863,50.8544967
"224",8.6770244,50.2576409
"225",8.6713557,50.4033917
"226",8.7872236,50.8483211
"227",8.2065505,50.7412021
"228",8.2940143,50.7348132
"229",8.7908128,50.3525296
"230",8.5220461,50.5685879
"231",8.8850671,50.3897202
"232",8.3220706,50.6325951
"233",9.0092014,50.3410291
"234",8.3842,50.59516
"235",8.0385438,50.4149668
"236",8.0320749,50.4084643
"237",8.105172,50.3938203
"238",8.0446241,50.5387148
"239",8.7605483,50.332746
"240",8.7465887,50.3202833
"241",8.7036303,50.6470102
"242",8.6987489,50.7059602
"243",8.253185,50.4309599
"244",8.7457197,50.5401713
"245",8.8870793,50.3792149
"246",8.6623401,50.5789525
"247",8.6841526,50.5703921
"248",8.6855437,50.5837472
"249",8.6709334,50.5916507
"250",8.996142,50.3138799
"251",9.0064526,50.329256
"252",8.9214842,50.598281
"253",8.2509605,50.4519506
"254",8.7831496,50.6058696
"255",8.6617949,50.5282487
"256",8.9602331,50.5966374
"257",8.0454623,50.4468164
"258",8.2205353,50.7414703
"259",8.2020878,50.741589
"260",9.0148462,50.4417622
"261",8.3078155,50.6844529
"262",8.8926799,50.4779235
"263",8.3428277,50.6162722
"264",8.1530412,50.4053547
"265",8.6785958,50.409831
"266",8.9214597,50.8238808
"267",8.666777,50.4974722
"268",8.8565011,50.4945916
"269",8.9915016,50.6071257
"270",8.3620748,50.5454362
"271",8.8222879,50.5146505
"272",8.0627075,50.3847189
"273",8.0969487,50.3812179
"274",8.1093587,50.3911188
"275",8.2703228,50.5111221
"276",8.7013353,50.6479306
"277",8.7740936,50.8196174
"278",8.7629205,50.7948199
"279",8.8113148,50.379094
"280",9.12101,50.85062
"281",8.999563,50.4105608
"282",13.4487898,52.5913155
"283",8.0440011,50.4150605
"284",8.3206545,50.7435831
"285",7.755394,50.5301307
"286",8.7040484,50.7353673
"287",8.6608405,50.7263812
"288",8.0454623,50.4468164
"289",8.934042,50.4296349
"290",8.1879904,50.3543323
"291",8.6781901,50.410049
"292",8.9831932,50.3571363
"293",8.8198081,50.3587515
"294",8.831167,50.5979778
"295",8.2054801,50.7744767
"296",8.6960327,50.2677388
"297",8.7011119,50.2979707
"298",8.1592701,50.4052553
"299",8.8822396,50.5959294
"300",8.2526028,50.749134
"301",NA,NA
"302",8.40687,50.545784
"303",9.01535,50.82556
"304",8.0462104,50.3995944
"305",8.3620748,50.5454362
"306",8.9213382,50.4448188
"307",8.1869144,50.3983602
"308",8.7246052,50.5083215
"309",8.8438205,50.3596243
"310",8.2662495,50.4849535
"311",8.4668559,50.5895427
"312",8.5039232,50.5651999
"313",8.03285,50.53133
"314",8.8165279,50.3990824
"315",8.0259742,49.2184677
"316",8.1789183,49.579921
"317",7.8168951,49.7272918
"318",7.4624419,49.5480477
"319",7.9662674,49.2054748
"320",7.9313061,49.2079271
"321",8.1634039,49.5767934
"322",8.0032108,49.1030175
"323",8.170401,49.4607976
"324",8.1918978,49.4656956
"325",8.0725277,49.1014753
"326",8.2885346,49.1935517
"327",8.2968574,49.1932826
"328",11.4364648,49.3248584
"329",8.4077548,49.2963731
"330",8.3505415,49.5877351
"331",8.1881025,49.607285
"332",8.3037049,49.379647
"333",7.4440929,49.3851347
"334",7.4283456,49.2453972
"335",8.1923737,49.4083136
"336",7.469118,49.2278797
"337",7.4781011,49.2392733
"338",8.1088437,49.5671701
"339",8.1343384,49.2637949
"340",8.1394085,49.2631974
"341",7.6621878,49.4311082
"342",11.891933,50.9725151
"343",7.9822098,49.5121661
"344",7.8969447,49.4885206
"345",8.2207558,49.4887899
"346",8.333829,49.5142709
"347",7.9698607,49.4390944
"348",8.3500119,49.5355295
"349",8.349892,49.5227686
"350",8.2048161,49.5023358
"351",7.7447855,49.435394
"352",8.3656924,49.2245194
"353",8.3781413,49.2199326
"354",8.3668146,49.2140244
"355",7.444642,49.4703623
"356",8.076443,49.2069749
"357",8.1676703,49.5644923
"358",8.1667909,49.5745277
"359",8.4301987,49.3351449
"360",8.2545533,49.3717804
"361",7.8494691,49.1971597
"362",7.83018,49.20123
"363",7.4897458,49.4003076
"364",8.393652,49.2853921
"365",7.6085225,49.6254858
"366",8.1814576,49.5086223
"367",7.7474066,49.1991355
"368",7.7474066,49.1991355
"369",7.6810811,49.5156376
"370",7.895735,49.4437059
"371",7.6989454,49.4159607
"372",7.5258825,49.2432422
"373",7.8080037,49.5980433
"374",8.143959,49.1572343
"375",8.2742902,49.0927824
"376",7.768781,49.4363228
"377",7.7526693,49.4351015
"378",7.7641028,49.4471725
"379",8.1972395,49.0792506
"380",8.0308898,49.1159989
"381",8.0218312,49.0393282
"382",7.6995687,49.5009679
"383",7.7335037,49.4398735
"384",7.6129433,49.419177
"385",9.1506465,49.0380503
"386",8.1436511,49.2358719
"387",7.6301576,49.5513314
"388",7.410429,49.5377997
"389",NA,NA
"390",8.2834395,49.5119198
"391",7.7296663,49.4836615
"392",8.1257636,49.1981088
"393",8.1133822,49.1903347
"394",8.1062535,49.1954849
"395",7.5662469,49.4161899
"396",7.5902686,49.6506922
"397",8.3902818,49.4241985
"398",8.2809536,49.2441327
"399",7.5995569,49.6357732
"400",8.4343491,49.4777206
"401",8.453424,49.4787978
"402",8.4208357,49.4613802
"403",8.3814448,49.4930031
"404",8.4092857,49.4475427
"405",8.1477832,49.306013
"406",7.4577643,49.4958509
"407",8.2881118,49.0384221
"408",8.133042,49.5693884
"409",7.5485708,49.456636
"410",7.8862261,49.5511469
"411",7.7005437,49.2214743
"412",8.1686026,49.3718075
"413",8.0458514,49.3860907
"414",11.1772532,48.7307132
"415",8.1565812,49.3414866
"416",8.1559562,49.3551313
"417",8.1406978,49.34992
"418",7.4696174,49.4590673
"419",7.503444,49.4566649
"420",7.6598243,49.5385078
"421",7.5979771,49.205866
"422",7.5857993,49.2616283
"423",7.4428522,49.5403786
"424",8.8122279,47.7069923
"425",7.5564717,49.4488447
"426",7.6082352,49.6078984
"427",7.4418802,49.4856363
"428",8.2749334,49.1197456
"429",8.2765169,49.116328
"430",8.273283,49.1152143
"431",7.5072537,49.245386
"432",7.9284254,49.2170581
"433",7.8175504,49.6279663
"434",7.6354397,49.2393138
"435",7.1642038,49.2885881
"436",7.62363,49.57193
"437",8.2920695,49.1528834
"438",8.2811886,49.1525445
"439",8.0802337,49.0606842
"440",8.3660131,49.3925231
"441",8.3773287,49.3743529
"442",10.8910525,48.3664924
"443",7.9967703,49.0367879
"444",8.0414406,49.2095813
"445",8.3604847,49.1949636
"446",8.4285713,49.3236783
"447",8.4264902,49.330077
"448",7.457386,49.2386613
"449",7.6556893,49.3146613
"450",8.2017872,52.5906363
"451",8.1317514,49.1216849
"452",7.526716,49.4571455
"453",NA,NA
"454",7.5790994,49.2641081
"455",7.4481829,49.5190623
"456",7.675146,49.431393
"457",8.1907818,49.4386453
"458",7.65331,49.28891
"459",7.9927336,49.4182643
"460",8.2503087,49.5140344
"461",7.8771401,49.2089909
"462",8.1185103,49.0984007
"463",7.8449146,49.5666475
"464",7.6117525,49.5834095
"465",8.2731957,49.0459863
"466",8.2509824,49.0551677
"467",8.2615678,49.0544693
"468",7.3569985,49.2471142
"469",9.6647813,51.045896
"470",9.2691602,50.750828
"471",9.8537594,50.451668
"472",11.9875697,48.404287
"473",9.7155146,50.870403
"474",9.4952595,50.6272651
"475",9.372213,50.2816219
"476",9.9694313,51.2673053
"477",8.7824556,50.1915759
"478",9.4684036,51.2325919
"479",9.4526825,51.2575191
"480",9.7961115,50.9686107
"481",9.2772748,51.0501401
"482",8.919599,50.186166
"483",9.7263772,50.7017347
"484",9.0490331,50.6914063
"485",9.4480257,51.2103663
"486",9.1008965,50.7084471
"487",9.6946288,50.494164
"488",9.4557722,51.3900754
"489",9.4451779,51.165983
"490",9.4343822,51.1301629
"491",9.445737,51.1828667
"492",9.5646005,50.4237389
"493",9.6839007,50.5543524
"494",9.52184,51.3484556
"495",9.1895224,50.1966142
"496",9.9143925,50.4492947
"497",9.4199274,51.4465681
"498",9.5501374,50.5929052
"499",9.4826799,51.2042048
"500",9.1863725,50.2045664
"501",9.2273267,50.2093791
"502",9.6938947,50.7682879
"503",9.8117082,50.4486613
"504",9.3860472,51.4970925
"505",9.4024492,51.5431176
"506",9.7690455,50.6726672
"507",9.4651342,51.4265833
"508",9.4898165,51.3182602
"509",9.4508276,51.3316581
"510",9.4616868,51.3379238
"511",9.4505889,51.3225555
"512",9.4529259,51.2757354
"513",9.4474446,51.3127348
"514",9.5178918,51.1727881
"515",9.0570816,50.1620754
"516",9.4044866,50.6441139
"517",9.1642669,50.2064231
"518",9.7385094,50.8945657
"519",9.7664148,50.480845
"520",9.5378968,51.0915158
"521",9.5540558,51.08211
"522",9.5466329,51.1266378
"523",9.5501765,51.1410353
"524",9.5479168,51.1539716
"525",9.1198513,50.2311837
"526",9.6129938,51.0685476
"527",9.0288069,50.6172065
"528",9.6203791,50.4547984
"529",8.8831299,50.2271802
"530",8.9170963,50.2563749
"531",8.8559943,50.2305588
"532",9.0337333,50.6459196
"533",8.8009492,50.1930403
"534",9.109809,50.1786748
"535",9.5501374,50.5929052
"536",8.9030299,50.2201799
"537",9.7691507,50.4594634
"538",9.0137987,50.14716
"539",9.8539203,50.9457909
"540",9.7430466,50.4777956
"541",9.7322281,50.9976716
"542",9.7673295,50.9905434
"543",9.2007645,50.9686096
"544",9.5097392,50.3410451
"545",9.7881469,50.4562373
"546",12.3356774,50.3936523
"547",8.8419832,50.2154594
"548",8.8218791,50.1954097
"549",9.1370274,50.8815178
"550",9.3240699,51.0587897
